review_id,review,sentiment_label,sentiment_score,identified_themes
1037,A great app. It's like carrying a bank in your pocket.,POSITIVE,0.9992928504943848,Other
1038,More than garrantty bank EBC.,POSITIVE,0.9971959590911865,Other
1039,really am happy to this app it is Siple to use everything,POSITIVE,0.9988697171211243,Other
1040,I liked this app. But the User interface is very basic and not attractive at all.,NEGATIVE,-0.9996840953826904,User Interface
1041,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",NEGATIVE,-0.9964652061462402,"Transaction Performance, Customer Support"
1042,what is this app problem???,NEGATIVE,-0.9996225833892822,Other
1043,the app is proactive and a good connections.,POSITIVE,0.9998679161071777,Other
1044,I cannot send to cbebirr app. through this app.,NEGATIVE,-0.9953354001045227,Other
1045,good,POSITIVE,0.9998161196708679,Other
1046,not functional,NEGATIVE,-0.999778687953949,Other
1047,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",NEGATIVE,-0.9905161261558533,Other
1048,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,NEGATIVE,-0.9616847634315491,Other
1049,best,POSITIVE,0.9997941851615906,Other
1050,bezabih,POSITIVE,0.9654073715209961,Other
1051,Best Mobile Banking app ever,POSITIVE,0.9997294545173645,Other
1052,good,POSITIVE,0.9998161196708679,Other
1053,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,NEGATIVE,-0.9981192946434021,Transaction Performance
1054,Good,POSITIVE,0.9998161196708679,Other
1055,👌👍,NEGATIVE,-0.6970561742782593,Other
1056,very niec,POSITIVE,0.5192607641220093,Other
1057,best app of finance,POSITIVE,0.9996503591537476,Other
1058,yetemeta,POSITIVE,0.655366837978363,Other
1059,Engida Kebede Fetera,NEGATIVE,-0.8396733403205872,Other
1060,good,POSITIVE,0.9998161196708679,Other
1061,it is not safety,NEGATIVE,-0.9997867941856384,Other
1062,NICE bank,POSITIVE,0.9998055100440979,Other
1063,it is like a childish app make it better the worst I have ever seen,NEGATIVE,-0.9997958540916443,Other
1064,"It's a problem solver application, go ahead CBE, I love so much.",POSITIVE,0.9997678399085999,Other
1065,It's good but try to make it facilitate for your client,POSITIVE,0.9491762518882751,Other
1066,best app,POSITIVE,0.999686598777771,Other
1067,Awesome bank,POSITIVE,0.9998461008071899,Other
1068,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,NEGATIVE,-0.9983141422271729,"Account Access Issues, Transaction Performance, Feature Requests"
1069,Masha alla,NEGATIVE,-0.9514630436897278,Other
